House_ID,City,Location_Type,Property_Type,Area_sqft,Bedrooms,Bathrooms,Parking_Spaces,Floors,House_Age_Years,Furnishing,Price_Lakh
H0001,Madurai,Suburban,Apartment,3774,6,5,1,1,8,Semi-Furnished,200.0
H0002,Chennai,Urban,Apartment,1460,3,3,1,1,24,Semi-Furnished,161.52
H0003,Madurai,Urban,Independent House,1894,3,3,2,1,15,Furnished,152.61
H0004,Coimbatore,Rural,Apartment,1730,3,3,2,4,12,Semi-Furnished,93.89
H0005,Trichy,Rural,Independent House,1695,4,5,2,1,8,Furnished,97.1
H0006,Trichy,Rural,Apartment,3692,6,5,1,3,20,Furnished,156.88
H0007,Trichy,Urban,Independent House,2238,4,3,1,5,12,Unfurnished,172.73
H0008,Coimbatore,Suburban,Villa,2769,4,3,1,3,30,Furnished,239.59
H0009,Erode,Suburban,Villa,1066,1,1,1,1,8,Semi-Furnished,56.23
H0010,Madurai,Suburban,Villa,1838,5,5,2,3,10,Furnished,174.19
H0011,Salem,Urban,Apartment,930,1,1,2,1,3,Unfurnished,58.37
H0012,Madurai,Suburban,Apartment,2082,4,4,2,4,1,Semi-Furnished,133.92
H0013,Chennai,Urban,Independent House,2735,5,5,2,3,28,Furnished,342.58
H0014,Tirunelveli,Urban,Apartment,3771,6,5,1,4,5,Semi-Furnished,236.67
H0015,Vellore,Rural,Independent House,3519,6,5,2,4,13,Semi-Furnished,164.75
H0016,Vellore,Urban,Apartment,730,2,1,1,2,3,Unfurnished,50.27
H0017,Trichy,Urban,Apartment,2285,4,3,1,1,5,Furnished,196.89
H0018,Madurai,Urban,Apartment,3980,6,5,1,5,18,Unfurnished,233.81
H0019,Salem,Rural,Villa,1369,1,1,1,1,5,Unfurnished,67.14
H0020,Chennai,Suburban,Apartment,2991,6,5,1,5,1,Unfurnished,273.02
H0021,Coimbatore,Urban,Independent House,2115,3,3,3,1,17,Semi-Furnished,232.64
H0022,Erode,Suburban,Apartment,3453,5,4,1,4,12,Semi-Furnished,181.57
H0023,Coimbatore,Suburban,Independent House,3033,5,5,1,3,8,Semi-Furnished,256.82
H0024,Salem,Urban,Apartment,1815,5,5,1,3,22,Unfurnished,124.65
H0025,Chennai,Suburban,Villa,1555,3,3,2,2,18,Semi-Furnished,189.52
H0026,Trichy,Suburban,Villa,2924,5,5,2,5,12,Semi-Furnished,249.24
