student_id,age,gender,study_time,attendance,parental_education,internet_access,previous_marks,marks,final_result
1001,19,Male,4.6,76.5,Diploma,Yes,73.7,53.0,Pass
1002,22,Female,4.0,78.4,Diploma,Yes,71.5,46.3,Pass
1003,20,Female,4.1,86.5,Master's,Yes,81.2,67.0,Pass
1004,19,Female,1.4,82.8,Diploma,Yes,68.4,44.0,Pass
1005,18,Female,4.8,75.8,Diploma,Yes,76.2,72.3,Pass
1006,18,Female,3.6,80.3,Master's,No,75.3,56.7,Pass
1007,17,Female,2.7,82.8,Bachelor's,Yes,56.2,39.8,Fail
1008,21,Female,3.4,59.6,Master's,Yes,66.7,41.9,Pass
1009,19,Male,0.8,86.8,High School,Yes,62.4,49.4,Pass
1010,20,Male,3.8,71.7,Bachelor's,Yes,75.6,53.4,Pass
1011,17,Male,1.8,69.9,High School,Yes,51.6,35.7,Fail
1012,22,Female,1.4,64.3,High School,Yes,48.5,37.6,Fail
1013,20,Female,1.1,63.2,Master's,Yes,53.6,32.9,Fail
1014,18,Male,4.7,67.8,High School,Yes,72.4,54.9,Pass
1015,18,Female,2.4,74.6,Bachelor's,Yes,73.3,52.3,Pass
1016,18,Female,5.3,100.0,Bachelor's,Yes,81.5,74.9,Pass
1017,18,Male,2.5,76.5,Diploma,Yes,71.3,54.9,Pass
1018,19,Female,0.9,83.9,Master's,Yes,65.0,44.8,Pass
1019,19,Female,1.7,86.2,High School,Yes,61.0,44.3,Pass
1020,18,Male,4.9,83.4,Bachelor's,Yes,76.2,60.5,Pass
1021,19,Female,3.0,81.2,PhD,Yes,78.6,50.3,Pass
1022,18,Male,2.5,69.4,Bachelor's,Yes,66.4,49.4,Pass
1023,18,Female,3.4,97.2,Master's,Yes,95.0,85.6,Pass
1024,19,Female,3.9,100.0,High School,Yes,68.4,51.3,Pass
1025,19,Female,4.7,64.3,Bachelor's,Yes,75.1,52.9,Pass
1026,20,Male,5.2,71.2,Diploma,Yes,69.0,50.6,Pass
1027,18,Female,2.7,79.1,Bachelor's,Yes,60.8,51.7,Pass
1028,19,Female,1.4,71.9,PhD,Yes,63.1,47.5,Pass
1029,19,Male,2.6,87.3,Diploma,Yes,69.0,51.1,Pass
1030,17,Female,3.6,74.4,Bachelor's,Yes,93.2,61.3,Pass
1031,19,Male,1.9,100.0,High School,Yes,65.7,50.5,Pass
1032,18,Female,1.9,94.5,Bachelor's,Yes,60.4,37.4,Fail
1033,17,Male,3.7,84.2,Bachelor's,Yes,75.5,60.2,Pass
1034,21,Male,3.1,92.8,PhD,Yes,60.1,57.4,Pass
1035,22,Male,3.2,93.6,Bachelor's,Yes,73.6,50.5,Pass
1036,20,Female,2.2,76.1,Diploma,Yes,62.9,35.3,Fail
1037,18,Male,2.9,73.4,High School,Yes,69.0,59.6,Pass
1038,18,Female,2.0,82.8,High School,Yes,69.9,45.2,Pass
1039,20,Male,4.4,91.0,Diploma,Yes,72.3,67.2,Pass
1040,19,Male,4.6,83.5,Diploma,Yes,73.5,58.6,Pass
1041,18,Female,0.7,65.4,Master's,Yes,51.2,32.9,Fail
1042,19,Female,1.9,73.6,Bachelor's,Yes,53.7,42.3,Pass
1043,17,Male,1.2,81.2,Bachelor's,Yes,64.9,39.8,Fail
1044,21,Female,2.3,81.2,High School,Yes,52.6,40.5,Pass
1045,18,Female,3.1,100.0,Master's,Yes,74.7,58.7,Pass
1046,20,Female,1.2,67.4,Bachelor's,Yes,50.0,25.6,Fail
1047,18,Male,2.0,87.3,High School,No,65.9,47.5,Pass
1048,19,Male,1.8,97.6,Bachelor's,Yes,84.4,60.1,Pass
1049,19,Female,3.5,100.0,Bachelor's,Yes,67.2,56.1,Pass
1050,18,Male,3.3,77.8,High School,Yes,50.9,33.0,Fail
1051,22,Female,2.2,87.2,Bachelor's,Yes,67.3,61.3,Pass
1052,20,Female,3.4,88.0,Bachelor's,Yes,73.5,63.7,Pass
1053,21,Female,2.5,84.1,High School,Yes,66.3,55.0,Pass
1054,21,Female,2.8,81.0,Master's,Yes,67.1,50.2,Pass
1055,19,Female,5.5,86.6,Master's,Yes,81.7,58.1,Pass
1056,21,Male,5.0,55.4,Bachelor's,No,70.3,64.3,Pass
1057,18,Female,1.4,89.2,Bachelor's,Yes,74.1,52.6,Pass
1058,18,Male,4.3,83.3,Bachelor's,Yes,59.8,46.8,Pass
1059,17,Male,4.3,79.7,Bachelor's,No,69.4,56.7,Pass
1060,18,Female,1.6,100.0,Bachelor's,Yes,71.7,62.0,Pass
1061,19,Female,4.3,74.9,High School,Yes,61.4,49.0,Pass
1062,18,Female,5.3,77.8,Bachelor's,Yes,91.5,80.1,Pass
1063,20,Female,1.7,100.0,Master's,Yes,67.3,60.0,Pass
1064,19,Male,2.0,73.3,Bachelor's,No,60.7,34.3,Fail
1065,18,Male,4.6,76.2,High School,No,72.8,50.0,Pass
1066,19,Female,3.6,80.5,Master's,Yes,69.0,61.6,Pass
1067,18,Male,3.9,90.8,High School,Yes,57.5,31.3,Fail
1068,20,Male,3.7,84.2,,Yes,67.9,53.0,Pass
1069,17,Male,3.7,68.4,High School,Yes,72.5,43.3,Pass
1070,22,Male,1.4,76.4,Diploma,Yes,57.0,36.6,Fail
1071,20,Male,4.6,75.6,Master's,Yes,69.4,55.5,Pass
1072,18,Male,4.8,81.2,Bachelor's,No,82.2,60.8,Pass
1073,17,Male,2.9,86.5,High School,No,62.2,41.9,Pass
1074,20,Male,3.1,86.4,Master's,Yes,69.6,48.4,Pass
1075,20,Female,1.1,63.4,Master's,Yes,59.5,54.4,Pass
1076,20,Male,3.9,93.2,Master's,Yes,85.2,80.3,Pass
1077,20,Male,4.0,84.7,Diploma,Yes,91.8,61.2,Pass
1078,17,Female,3.1,96.5,Bachelor's,Yes,81.5,73.8,Pass
1079,19,Male,4.7,86.7,PhD,Yes,90.4,70.0,Pass
1080,18,Female,2.7,93.6,Master's,Yes,70.3,57.1,Pass
1081,21,Female,4.0,86.9,High School,Yes,63.2,51.3,Pass
1082,19,Male,1.8,96.1,High School,Yes,66.1,44.8,Pass
1083,19,Male,3.2,87.5,Bachelor's,No,71.3,60.0,Pass
1084,17,Female,3.0,81.0,Master's,Yes,62.9,51.1,Pass
1085,18,Female,3.5,100.0,Bachelor's,Yes,76.2,59.2,Pass
1086,18,Male,,91.3,Bachelor's,Yes,74.8,49.0,Pass
1087,20,Female,3.0,88.0,High School,Yes,70.6,47.6,Pass
1088,20,Male,4.3,68.6,Bachelor's,No,72.8,43.1,Pass
1089,21,Female,,68.5,Master's,Yes,68.2,49.8,Pass
1090,19,Male,1.0,85.1,Diploma,Yes,56.8,32.4,Fail
1091,18,Female,5.6,83.5,Master's,Yes,78.6,65.4,Pass
1092,20,Female,5.1,75.6,PhD,Yes,69.6,68.3,Pass
1093,20,Female,1.5,83.5,High School,Yes,74.6,58.5,Pass
1094,19,Male,4.1,98.7,Bachelor's,Yes,79.7,65.5,Pass
1095,20,Male,,89.3,Diploma,Yes,66.4,50.2,Pass
1096,19,Male,3.6,70.0,Master's,Yes,63.0,62.0,Pass
1097,19,Male,3.6,80.8,Bachelor's,Yes,95.0,73.0,Pass
1098,19,Male,2.9,73.5,Bachelor's,Yes,58.1,42.7,Pass
1099,17,Female,2.1,77.9,Master's,Yes,63.5,38.2,Fail
1100,18,Male,2.3,77.7,Diploma,Yes,67.0,50.8,Pass
1101,17,Male,2.0,77.0,Master's,Yes,71.0,56.8,Pass
1102,20,Female,2.1,68.8,Bachelor's,No,67.7,40.6,Pass
1103,18,Female,3.1,80.7,High School,Yes,80.3,59.8,Pass
1104,19,Female,2.2,76.1,Bachelor's,Yes,68.8,47.2,Pass
1105,21,Female,4.1,51.2,Master's,Yes,57.9,43.3,Pass
1106,18,Male,5.2,100.0,Diploma,Yes,80.3,52.4,Pass
1107,19,Male,2.4,93.4,Master's,Yes,75.6,57.0,Pass
1108,20,Female,3.5,78.0,Master's,Yes,89.1,72.6,Pass
1109,18,Female,3.9,82.2,Diploma,Yes,60.3,45.6,Pass
1110,17,Male,3.8,69.7,PhD,Yes,81.7,62.0,Pass
1111,18,Female,3.3,99.8,High School,Yes,74.2,53.8,Pass
1112,18,Male,4.2,100.0,High School,Yes,83.1,68.8,Pass
1113,21,Male,3.9,83.6,High School,Yes,69.1,52.8,Pass
1114,20,Female,1.5,92.7,Master's,Yes,62.5,42.1,Pass
1115,20,Female,4.4,83.8,Bachelor's,Yes,82.0,73.6,Pass
1116,21,Female,4.4,68.0,High School,No,70.2,56.7,Pass
1117,20,Male,2.2,77.7,Bachelor's,Yes,73.0,48.4,Pass
1118,18,Female,3.3,83.4,Bachelor's,Yes,71.4,58.9,Pass
1119,21,Male,4.1,77.2,High School,Yes,63.9,54.0,Pass
1120,19,Male,2.9,79.7,Master's,Yes,58.2,51.2,Pass
1121,20,Female,4.6,81.0,Master's,Yes,84.5,56.3,Pass
1122,21,Female,6.4,81.2,Bachelor's,Yes,86.6,79.2,Pass
1123,18,Female,2.1,82.5,PhD,Yes,61.7,44.1,Pass
1124,18,Female,1.3,70.9,Bachelor's,Yes,55.2,35.8,Fail
1125,18,Female,3.6,74.5,PhD,Yes,69.1,71.9,Pass
1126,19,Female,4.2,68.5,Bachelor's,Yes,58.5,49.7,Pass
1127,20,Male,2.9,92.3,Bachelor's,Yes,66.2,50.8,Pass
1128,21,Male,5.2,59.9,High School,Yes,58.5,32.6,Fail
1129,17,Male,1.4,94.1,Master's,Yes,66.0,59.3,Pass
1130,19,Male,4.1,96.6,Bachelor's,Yes,73.0,52.7,Pass
1131,19,Female,2.4,78.8,High School,Yes,49.4,31.1,Fail
1132,18,Male,5.5,54.7,High School,Yes,83.3,59.0,Pass
1133,18,Male,5.9,78.2,Bachelor's,Yes,90.2,82.0,Pass
1134,19,Male,2.2,81.3,Bachelor's,Yes,60.2,50.7,Pass
1135,21,Female,2.5,71.4,Bachelor's,Yes,66.6,47.2,Pass
1136,18,Male,4.4,76.6,Master's,Yes,79.1,64.7,Pass
1137,19,Female,2.7,98.1,High School,Yes,79.3,55.8,Pass
1138,20,Male,3.1,89.0,Bachelor's,Yes,65.9,53.9,Pass
1139,19,Male,3.2,72.3,High School,Yes,72.3,52.3,Pass
1140,22,Female,0.6,65.2,Master's,Yes,52.5,40.7,Pass
1141,22,Female,3.2,78.6,Master's,Yes,60.9,55.5,Pass
1142,18,Male,2.3,79.8,Bachelor's,Yes,72.1,55.7,Pass
1143,19,Female,2.5,87.2,Bachelor's,Yes,79.8,56.7,Pass
1144,18,Female,5.1,76.4,Diploma,Yes,95.0,76.9,Pass
1145,18,Male,1.5,87.4,Bachelor's,Yes,56.0,41.9,Pass
1146,17,Female,4.3,100.0,Master's,Yes,88.4,65.5,Pass
1147,19,Female,2.8,90.6,Bachelor's,Yes,68.5,51.4,Pass
1148,19,Female,2.8,81.5,Diploma,Yes,73.1,54.5,Pass
1149,17,Female,4.3,80.1,Bachelor's,Yes,62.7,58.6,Pass
1150,18,Female,3.7,78.3,Master's,Yes,63.4,50.8,Pass
1151,21,Female,4.0,94.4,Diploma,Yes,69.6,50.0,Pass
1152,18,Female,4.5,75.4,High School,Yes,70.4,55.4,Pass
1153,18,Female,2.8,82.5,Bachelor's,No,62.1,46.9,Pass
1154,19,Female,2.4,82.5,Master's,Yes,74.9,57.1,Pass
1155,22,Female,1.7,76.7,High School,Yes,67.2,51.6,Pass
